"type","title","content","agency_ein","has_appeals_language"
"denial","Presentencing Report - POL 87(2)(a); CPL 390.50; 9 NYCCRR 348.7","Access is denied to presentencing reports because they are confidential records which are specifically exempted from disclosure by statute. Public Officers Law §87 (2)(a); Criminal Procedure Law § 390.50; 9 New York Comp. Codes Rules and Regulations § 348.7.","0901","False"
"denial","Previously Provided","Your request for materials previously provided to you or your attorney is denied as FOIL does not require the District Attorney’s Office to provide duplicates of documents previously provided, absent a showing in evidentiary form that such documents are no longer available to you. See Matter of Huston v Turkel, 236 AD 2d 283 (1st Dept 1997).","0901","False"
"denial","Privacy/In General - POL (2)(b); POL 89(2)","Access is denied to records, the disclosure of which would constitute an unwarranted invasion of personal privacy. Public Officers Law §§ 87(2)(b) + 89(2)(b).","0901","False"
"denial","Privacy/Financial Records - POL 87(2)(b); POL 89(2)(b)(i)+(iv)","Access is denied to bank statements and other financial records as confidential records such that disclosure under FOIL would constitute an unwarranted invasion of personal privacy. Public Officers Law §§ 87(2)(b) + 89(2)(b)(i)+(iv).","0901","False"
"denial","Privacy/Graphic Content - POL 87(2)(b)","Access is denied to any graphic images or videos that, if disclosed, would constitute an unwarranted invasion of privacy. Public Officers Law § 87(2)(b).","0901","False"
"denial","Privacy/Witness Statements - POL 87(2)(b); POL 89(2)(b)","Access is denied to witness statements on privacy grounds. Public Officers Law §§ 87(2)(b); 89(2)(b).","0901","False"
"denial","Probation and Parole Records - POL 87(2)(a); EXC 259-k; CPL 390.50; 9 NYCCRR 348.7","Access is denied to probation and parole records because they are confidential court records only available by court order. Public Officers Law § 87(2)(a)+(g); Executive Law § 259-k; Criminal Procedure Law § 390.50; 9 New York Comp. Codes Rules and Regulations § 8000.5.","0901","False"
"denial","Safety Grounds - POL 87(2)(f)","Access is denied to records that, if disclosed, could endanger the life and safety of any person. Public Officers Law §§ 87(2)(b)+(f).","0901","False"
"denial","Sealed Case - CPL 160.50","Your request is denied as the specified case is sealed pursuant to Criminal Procedure Law § 160.50. Absent a signed waiver from the defendant or a court order, our office is barred by state statute from accessing or releasing case paperwork.","0901","False"
"denial","Sealed Case - CPL 160.55","Your request is denied as the specified case is sealed pursuant to Criminal Procedure Law § 160.55. Absent a signed waiver from the defendant or a court order, our office is barred by state statute from accessing or releasing case paperwork.","0901","False"
"denial","Search Warrant Affidavits - POL 87(2)(a); CPL 690.55","Access is denied to search warrant applications because they are confidential records which are not available absent a court order. Public Officers Law § 87(2)(a); Criminal Procedure Law § 690.55.","0901","False"
"denial","Sex Offense Case - POL 87(2)(a); CRL 50-b","Access is denied to records which tend to identify the victim of a sex offense, since disclosure of such confidential records is strictly prohibited by statute. Public Officers Law §87(2)(a); Civil Rights Law § 50-b(1). Please feel free to resubmit your request with a Civil Rights Law § 50-b waiver signed by the victim for further consideration.","0901","False"
